fighter,height_cm,reach_cm,weight_kg,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Julio Arce,170.2,177.8,65.8,Southpaw,36.9,4.25,0.36,2.87,0.67,0.58,0.3,0.93,0.6
Viviane Araujo,162.6,172.7,56.7,Orthodox,39.8,4.97,0.48,4.84,0.6,2.33,0.64,0.94,0.2
Art Arciniega,172.7,,65.8,,44.9,1.53,0.46,2.73,0.51,0.0,0.0,0.5,1.0
Tristan Arenal,,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joey Armstrong,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrei Arlovski,190.5,195.6,108.9,Orthodox,47.6,3.48,0.44,2.83,0.57,0.47,0.36,0.78,0.3
Akbarh Arreola,177.8,180.3,70.3,Southpaw,43.7,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4
Ricardo Arona,180.3,,93.0,Orthodox,48.2,1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2
Chalid Arrab,180.3,,93.0,Orthodox,51.3,1.56,0.34,1.63,0.56,3.05,0.75,0.37,1.0
Austin Arnett,182.9,182.9,65.8,Orthodox,34.9,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2
Matt Arroyo,177.8,182.9,77.1,Orthodox,44.1,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3
Antonio Arroyo,190.5,185.4,83.9,Orthodox,37.2,3.08,0.7,1.72,0.44,1.4,0.41,0.32,0.3
Gilles Arsene,175.3,,86.2,Southpaw,,0.06,0.1,2.45,0.32,0.0,0.0,0.0,0.0
Veta Arteaga,170.2,,56.7,,,3.2,0.36,1.92,0.65,0.0,0.0,0.4,0.0
Teddy Ash,185.4,185.4,83.9,Switch,36.7,7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0
Cesar Arzamendia,180.3,,70.3,Orthodox,35.6,5.37,0.45,5.2,0.56,7.32,0.75,0.0,2.4
Askar Askar,170.2,175.3,65.8,Orthodox,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arman Ashimov,167.6,,56.7,,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Askar Askarov,167.6,170.2,56.7,Orthodox,34.0,3.37,0.55,2.65,0.56,2.75,0.28,0.64,0.0
Cyril Asker,182.9,188.0,112.0,Orthodox,40.7,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9
Scott Askham,190.5,190.5,83.9,Southpaw,38.3,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7
Ben Askren,180.3,185.4,77.1,Orthodox,42.2,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9
Ibo Aslan,190.5,,93.0,,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Aspinall,195.6,198.1,116.1,Orthodox,33.5,7.43,0.66,3.06,0.65,3.54,1.0,0.0,1.8
Bruno Assis,188.0,,83.9,Orthodox,34.3,1.27,0.43,3.2,0.36,2.0,0.5,0.66,1.0
Junior Assuncao,175.3,182.9,65.8,Orthodox,45.2,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7
Raphael Assuncao,165.1,167.6,61.2,Orthodox,44.2,3.26,0.4,2.33,0.68,1.48,0.38,0.8,0.3
Bazigit Atajev,185.4,,104.3,Orthodox,,0.87,0.41,3.14,0.49,1.0,0.33,0.0,0.0
Rich Attonito,177.8,182.9,77.1,Orthodox,49.3,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0
Pat Audinwood,182.9,,70.3,Orthodox,40.4,1.17,0.12,4.31,0.41,0.8,0.5,0.0,0.0
Olivier Aubin-Mercier,175.3,177.8,70.3,Southpaw,37.6,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5
Jose Augusto,190.5,,113.9,,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Aurelio,177.8,188.0,70.3,Orthodox,53.1,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3
David Avellan,175.3,,83.9,Orthodox,,3.33,0.25,10.0,0.57,0.0,0.0,0.0,0.0
Levi Avera,185.4,,77.1,,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blas Avena,182.9,188.0,77.1,Orthodox,43.2,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8
Anthony Avila,170.2,,65.8,,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julia Avila,170.2,172.7,61.2,Orthodox,38.4,3.1,0.41,2.9,0.54,0.49,0.5,0.6,0.0
Chris Avila,177.8,,65.8,Orthodox,33.7,2.37,0.3,4.17,0.48,0.0,0.0,0.46,0.0
Saad Awad,180.3,,70.3,,43.3,2.13,0.26,1.87,0.6,0.5,0.16,1.0,0.5
Abu Azaitar,175.3,193.0,83.9,Orthodox,40.5,3.2,0.37,1.27,0.57,1.0,1.0,0.25,0.0
Javy Ayala,185.4,,120.2,,38.1,0.83,0.25,5.0,0.33,0.0,0.0,0.0,0.0
Jessin Ayari,182.9,185.4,70.3,Orthodox,34.3,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3
Luiz Azeredo,175.3,,69.9,Orthodox,50.3,2.16,0.39,2.76,0.57,1.07,0.5,0.45,0.3
Ottman Azaitar,172.7,180.3,70.3,Switch,36.6,8.43,0.57,1.76,0.67,0.0,0.0,1.0,0.0
Luciano Azevedo,190.5,,73.0,Orthodox,45.2,0.76,0.45,1.97,0.27,2.28,0.11,0.0,0.0
Hunter Azure,172.7,175.3,65.8,Orthodox,34.6,4.17,0.52,1.99,0.62,2.52,0.45,0.76,1.4
Niklas Backstrom,185.4,,65.8,Orthodox,37.1,1.12,0.41,3.65,0.4,2.92,0.8,0.72,2.2
Izabela Badurek,165.1,,52.2,Orthodox,35.2,3.74,0.71,4.9,0.32,1.75,0.12,1.0,0.0
Miguel Baeza,188.0,188.0,77.1,Orthodox,34.1,4.64,0.55,3.89,0.5,0.8,0.4,1.0,1.2
Ali Bagautinov,162.6,165.1,56.7,Orthodox,41.3,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3
Seth Baczynski,190.5,190.5,77.1,Orthodox,44.9,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8
Ryan Bader,188.0,188.0,93.0,Orthodox,43.3,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4
Mehdi Baghdad,185.4,,70.3,Orthodox,41.4,3.13,0.3,4.56,0.46,0.0,0.0,0.33,0.0
Melsik Baghdasaryan,175.3,177.8,65.8,Southpaw,34.7,6.8,0.64,3.8,0.53,0.0,0.0,0.75,0.0
Siyar Bahadurzada,180.3,185.4,77.1,Orthodox,42.4,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3
Ignacio Bahamondes,190.5,190.5,77.1,Orthodox,29.1,8.78,0.54,2.66,0.67,0.0,0.0,1.0,0.0
Stephen Banaszak,182.9,,65.8,,35.8,4.2,0.47,1.15,0.66,0.0,0.0,1.0,1.9
Jordan Bailey,175.3,,65.8,,,1.74,0.4,0.29,0.0,4.35,1.0,0.0,4.3
Bryan Baker,190.5,,83.9,Orthodox,40.9,1.78,0.52,2.83,0.45,0.44,0.5,0.37,0.9
Oluwale Bamgbose,180.3,198.1,83.9,Switch,39.1,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0
Shamar Bailey,175.3,190.5,70.3,Southpaw,44.0,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0
Scott Baker,182.9,,95.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcin Bandel,177.8,,70.3,Orthodox,37.0,0.79,0.5,5.26,0.23,0.0,0.0,0.0,0.0
Humberto Bandenay,180.3,180.3,65.8,Southpaw,32.1,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5
Tae Hyun Bang,175.3,180.3,70.3,Switch,43.4,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5
Maycee Barber,165.1,165.1,56.7,Switch,28.4,5.21,0.52,3.0,0.5,1.44,0.4,0.8,0.2
Yohan Banks,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junior Barata,177.8,,77.1,Orthodox,44.7,4.03,0.33,8.46,0.34,0.0,0.0,0.0,0.0
Antonio Banuelos,165.1,160.0,61.2,Orthodox,47.0,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4
Bryan Barberena,182.9,182.9,77.1,Southpaw,37.4,5.48,0.48,4.7,0.45,0.23,0.28,0.6,0.5
Renan Barao,167.6,177.8,65.8,Orthodox,39.6,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5
Edson Barboza,180.3,190.5,65.8,Orthodox,40.7,3.98,0.43,4.03,0.6,0.44,0.44,0.78,0.1
Nick Barnes,180.3,,77.1,,,2.86,0.29,8.93,0.51,5.36,1.0,1.0,5.4
James Barnes,172.7,,65.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raoni Barcelos,170.2,170.2,61.2,Orthodox,39.4,5.59,0.52,4.17,0.67,2.23,0.56,0.85,0.7
Luke Barnatt,198.1,195.6,83.9,Orthodox,38.4,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4
Chris Barnhizer,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Baron,167.6,,70.3,Switch,53.6,1.17,0.3,2.1,0.56,0.0,0.0,0.14,0.7
Phil Baroni,175.3,182.9,77.1,Orthodox,50.4,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5
