fighter,height_cm,reach_cm,weight_kg,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Thiago Silva,188.0,188.0,93.0,Orthodox,43.9,3.92,0.5,2.55,0.67,1.03,0.47,0.7,0.7
Jean Silva,167.6,,72.6,Orthodox,49.0,0.73,0.22,2.93,0.52,0.0,0.0,0.0,0.0
Paulo Cesar Silva,226.1,,174.6,Orthodox,63.2,0.4,0.15,2.72,0.47,0.42,1.0,0.16,0.4
Edson Silva,,,93.0,Orthodox,,2.69,0.14,5.37,0.5,0.0,0.0,0.0,0.0
Anderson Silva,188.0,195.6,83.9,Southpaw,51.4,3.05,0.61,2.05,0.6,0.5,0.77,0.69,0.8
Wanderlei Silva,180.3,188.0,93.0,Orthodox,50.2,2.79,0.4,2.19,0.6,0.97,0.53,0.62,0.6
Sidney Silva,190.5,,77.1,Southpaw,54.6,2.86,0.65,3.3,0.34,3.3,1.0,0.0,0.0
Jay Silva,188.0,,83.9,Southpaw,,1.13,0.34,3.07,0.4,0.0,0.0,0.38,1.0
Fabio Silva,180.3,,93.0,Orthodox,44.5,0.09,0.11,5.9,0.38,0.0,0.0,0.0,0.0
Leandro Silva,175.3,182.9,70.3,Orthodox,40.9,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4
Claudio Silva,180.3,180.3,77.1,Southpaw,44.0,3.14,0.42,3.12,0.43,3.01,0.28,0.66,1.6
Wagner Silva,182.9,,77.1,Orthodox,39.6,1.69,0.29,2.87,0.65,0.0,0.0,0.58,0.0
Antonio Silva,193.0,208.3,119.7,Orthodox,47.0,2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8
Erick Silva,182.9,188.0,77.1,Orthodox,42.3,2.5,0.48,4.18,0.49,0.85,0.35,0.56,1.4
Rafael Silva,170.2,,61.2,,41.5,0.67,0.5,0.73,0.67,0.0,0.0,0.25,1.0
Joaquim Silva,172.7,175.3,70.3,Southpaw,37.6,3.92,0.37,4.43,0.56,0.24,0.5,0.64,0.7
Felipe Silva,182.9,195.6,70.3,Orthodox,42.4,5.4,0.5,1.8,0.59,1.0,1.0,0.71,0.0
Dayana Silva,170.2,,61.2,Orthodox,36.1,6.33,0.51,5.93,0.57,0.0,0.0,0.42,0.0
Jacob Silva,165.1,170.2,56.7,Orthodox,38.6,4.17,0.44,4.92,0.56,1.51,1.0,0.66,0.0
Gabriel Silva,167.6,180.3,61.2,Orthodox,32.1,1.3,0.34,3.47,0.45,1.5,0.25,0.38,0.5
Bruno Silva,182.9,,83.9,,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natalia Silva,162.6,,56.7,,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas Silva de Andrade,170.2,172.7,65.8,Orthodox,41.3,3.77,0.38,4.26,0.58,0.7,0.5,0.66,0.0
Leonardo Silva de Oliveira,188.0,,83.9,Orthodox,34.4,1.07,0.4,0.54,0.5,24.11,0.5,0.0,0.0
Marcus Silveira,190.5,,109.8,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamey Simmons,167.6,177.8,65.8,Orthodox,34.0,0.52,0.5,2.08,0.5,0.0,0.0,1.0,0.0
Elias Silverio,180.3,185.4,70.3,Orthodox,40.0,3.67,0.49,2.97,0.51,1.62,0.38,0.85,0.2
Aaron Simpson,182.9,185.4,77.1,Orthodox,52.2,3.6,0.52,2.53,0.56,3.78,0.34,0.83,0.5
Ricky Simon,167.6,175.3,61.2,Orthodox,34.1,3.08,0.42,3.13,0.64,6.93,0.54,0.72,0.4
Wes Sims,208.3,,117.9,Orthodox,47.1,0.98,0.51,2.95,0.37,0.0,0.0,0.4,2.3
Marlon Sims,,,77.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Sims,180.3,177.8,70.3,Southpaw,40.9,1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7
Lodune Sincaid,175.3,,83.9,Orthodox,53.4,2.72,0.42,6.17,0.57,0.0,0.0,0.75,0.0
Everett Sims,195.6,195.6,117.9,Southpaw,38.1,0.81,0.66,2.19,0.3,0.0,0.0,0.42,1.2
Rob Sinclair,172.7,,70.3,,46.6,1.2,0.33,1.73,0.73,0.0,0.0,0.5,0.0
Elvis Sinosic,190.5,195.6,93.0,Orthodox,55.6,1.13,0.37,4.6,0.53,0.0,0.0,0.0,1.2
Mitchell Sipe,188.0,,111.1,Orthodox,30.5,5.5,0.56,9.98,0.46,1.53,0.2,0.0,0.0
Rory Singer,188.0,195.6,83.9,Orthodox,50.3,2.55,0.39,2.42,0.63,0.39,0.25,0.64,0.8
AJ Siscoe,170.2,,61.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yokthai Sithoar,170.2,,64.9,,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeri Sitzes,165.1,,56.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Siver,167.6,177.8,65.8,Orthodox,47.7,3.87,0.32,2.67,0.65,0.87,0.32,0.65,0.3
Chas Skelly,180.3,182.9,65.8,Orthodox,41.4,2.02,0.4,3.35,0.48,1.71,0.34,0.33,2.4
Matt Skelton,190.5,,120.2,Orthodox,59.7,0.0,0.0,0.54,0.0,0.0,0.0,0.66,0.0
Zach Skinner,167.6,,65.8,Orthodox,,0.53,0.5,2.4,0.32,5.0,0.27,1.0,1.0
Joe Slick,182.9,,90.3,Orthodox,48.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Smith,188.0,,102.1,Orthodox,63.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kestutis Smirnovas,177.8,,90.7,Orthodox,,4.95,0.52,5.05,0.54,1.55,0.5,1.0,1.6
Maurice Smith,188.0,,100.2,Orthodox,64.8,0.41,0.46,0.47,0.6,0.89,0.5,0.2,0.9
Scott Smith,182.9,177.8,83.9,Orthodox,47.3,1.9,0.27,5.87,0.5,0.12,0.06,0.58,0.5
Eric Smith,,,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Smith,182.9,,70.3,Orthodox,44.2,0.73,0.28,1.4,0.54,0.0,0.0,0.57,2.0
Adam Smith,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dillon Smith,182.9,,77.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Smith,,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Sleeman,172.7,,83.9,,,4.0,0.48,1.85,0.7,9.23,1.0,1.0,0.0
Trevor Smith,190.5,190.5,83.9,Orthodox,45.7,3.29,0.55,3.31,0.51,1.7,0.32,0.6,0.7
Anthony Smith,193.0,193.0,93.0,Orthodox,38.2,2.94,0.46,4.38,0.42,0.49,0.28,0.51,0.7
Colton Smith,182.9,180.3,70.3,Orthodox,39.1,1.64,0.41,2.3,0.51,4.09,0.36,0.25,1.4
Ray Sloan,185.4,,93.0,,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilbert Smith,175.3,,83.9,Southpaw,44.9,1.09,0.41,2.73,0.35,3.51,0.6,0.0,1.2
Devonte Smith,175.3,193.0,70.3,Orthodox,33.1,5.64,0.55,2.65,0.59,0.74,1.0,1.0,0.7
Leslie Smith,175.3,167.6,61.2,Orthodox,44.1,7.56,0.4,8.41,0.51,0.0,0.0,0.62,0.0
Cole Smith,180.3,170.2,61.2,Orthodox,37.5,1.78,0.35,1.96,0.49,1.67,0.33,0.45,1.7
Justin Smitley,,,65.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walter Smith-Cotito,172.7,,61.2,,,2.95,0.36,3.53,0.68,2.16,0.33,0.57,0.0
Nate Smith,167.6,175.3,56.7,Switch,31.5,1.28,0.38,2.04,0.35,0.0,0.0,0.33,2.3
Dmitrii Smoliakov,188.0,188.0,114.8,Switch,44.1,1.44,0.42,3.81,0.55,0.0,0.0,0.75,0.0
Louis Smolka,175.3,172.7,61.2,Orthodox,35.2,4.44,0.46,3.74,0.53,1.84,0.37,0.31,1.9
Richie Smullen,175.3,172.7,70.3,Orthodox,35.1,1.98,0.77,2.26,0.65,8.49,0.66,0.0,0.0
Devin Smyth,177.8,182.9,77.1,Switch,31.2,2.6,0.68,6.73,0.25,4.0,0.26,1.0,0.0
Denis Sobolev,190.5,,98.0,Orthodox,,0.0,0.0,5.45,0.33,0.0,0.0,0.0,0.0
Renato Sobral,185.4,190.5,93.0,Orthodox,51.0,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6
Peter Sobotta,182.9,190.5,77.1,Southpaw,39.7,2.14,0.4,2.9,0.58,1.53,0.32,0.77,0.5
Rameau Thierry Sokoudjou,177.8,198.1,93.0,Orthodox,42.4,2.26,0.45,2.61,0.56,1.93,0.47,0.78,0.9
Joe Solecki,175.3,177.8,70.3,Orthodox,33.1,3.62,0.74,0.93,0.51,3.31,0.62,0.0,1.3
Chris Solomon,180.3,,70.3,,,0.0,0.0,2.8,0.37,0.0,0.0,0.33,0.0
Paul Song,,,83.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Son,162.6,,107.0,Orthodox,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chael Sonnen,185.4,185.4,93.0,Southpaw,49.5,3.08,0.43,1.1,0.62,3.81,0.59,0.66,0.4
Song Kenan,182.9,180.3,77.1,Orthodox,36.5,4.39,0.46,4.37,0.54,0.0,0.0,0.5,0.0
Song Yadong,172.7,170.2,65.8,Orthodox,28.8,4.35,0.42,3.64,0.57,0.59,0.75,0.56,0.4
Cody Sons,175.3,,93.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jin Soo Son,167.6,175.3,61.2,Orthodox,33.5,5.1,0.36,7.63,0.52,1.5,0.25,1.0,0.0
Emiliano Sordi,188.0,,93.0,Orthodox,35.6,4.79,0.5,4.79,0.48,0.0,0.0,1.0,8.3
Punahele Soriano,180.3,182.9,83.9,Southpaw,33.8,4.46,0.43,2.86,0.52,2.6,0.66,0.0,0.0
Sean Soriano,175.3,,65.8,Orthodox,37.0,3.15,0.61,2.31,0.52,1.27,0.42,0.55,0.0
Dmitry Sosnovskiy,190.5,195.6,108.9,Orthodox,37.2,2.95,0.7,2.53,0.35,3.16,0.66,1.0,3.2
Ben Sosoli,182.9,182.9,120.2,Southpaw,36.8,2.31,0.31,4.3,0.47,0.0,0.0,0.0,0.0
Greg Soto,180.3,185.4,77.1,Orthodox,40.3,3.21,0.63,2.61,0.52,1.49,0.27,0.44,1.0
George Sotiropoulos,177.8,180.3,70.3,Orthodox,49.2,2.61,0.27,2.52,0.67,2.32,0.31,0.53,1.6
Alex Soto,172.7,,61.2,Southpaw,42.6,2.95,0.25,5.02,0.59,2.82,0.3,0.0,0.0
Krzysztof Soszynski,185.4,195.6,93.0,Open Stance,49.1,3.37,0.39,3.13,0.58,0.52,0.25,0.71,1.0
Mario Soto,182.9,,65.8,,,1.43,0.23,5.23,0.42,0.0,0.0,0.0,0.0
Joe Soto,167.6,165.1,61.2,Orthodox,39.5,3.36,0.41,5.37,0.67,0.85,0.21,0.7,1.9
Bobby Southworth,188.0,,93.0,Orthodox,56.8,0.99,0.39,1.38,0.65,3.98,0.78,0.64,1.3
Andre Soukhamthath,175.3,177.8,61.2,Orthodox,37.9,2.77,0.44,4.31,0.49,1.25,0.53,0.58,0.2
Edimilson Souza,182.9,188.0,65.8,Orthodox,41.9,4.65,0.44,2.91,0.58,0.0,0.0,0.5,0.0
Chris Spang,188.0,,77.1,Orthodox,38.8,1.83,0.36,1.95,0.6,0.0,0.0,0.5,0.9
Mario Souza,190.5,200.7,83.9,Orthodox,29.9,3.4,0.6,0.93,0.54,0.0,0.0,0.0,1.0
Livinha Souza,160.0,160.0,52.2,Orthodox,35.5,2.06,0.45,3.38,0.62,2.4,0.44,0.4,1.2
Jacare Souza,185.4,182.9,83.9,Orthodox,46.8,2.53,0.46,2.85,0.62,2.55,0.39,0.6,1.4
Charon Spain,175.3,,70.3,,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Spang,185.4,,83.9,,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Spann,195.6,200.7,93.0,Orthodox,35.1,3.55,0.45,3.45,0.47,1.72,0.41,0.6,1.7
Tommy Speer,177.8,180.3,77.1,Orthodox,42.1,2.56,0.51,5.12,0.35,2.02,0.33,0.33,0.0
Patrick Speight,185.4,,77.1,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ron Sparks,195.6,,120.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Spencer,177.8,188.0,77.1,Orthodox,39.2,4.24,0.32,4.02,0.6,0.14,0.33,0.68,0.0
Felicia Spencer,167.6,172.7,65.8,Orthodox,35.8,3.02,0.45,5.57,0.43,0.64,0.1,0.14,0.3
Sam Spengler,180.3,,83.9,Orthodox,,3.27,0.62,3.27,0.54,1.75,0.11,0.75,1.8
Nick Sperling,,,61.2,,,1.4,0.25,1.4,0.66,0.0,0.0,0.0,0.0
Mario Sperry,188.0,,93.0,Orthodox,60.0,2.81,0.52,1.53,0.47,2.09,0.42,0.71,1.4
Waachiim Spiritwolf,172.7,,77.1,,,10.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
Daniel Spitz,200.7,208.3,111.1,Orthodox,36.1,2.6,0.35,5.3,0.46,0.74,0.66,0.0,0.0
Eric Spicely,185.4,185.4,83.9,Orthodox,40.0,3.71,0.45,5.72,0.55,1.31,0.2,0.75,1.0
Serghei Spivac,190.5,198.1,117.9,Orthodox,31.7,3.58,0.49,2.84,0.58,3.7,0.63,0.75,0.3
Daniel Spohn,193.0,200.7,93.0,Southpaw,41.9,2.42,0.49,1.6,0.53,0.0,0.0,0.28,2.5
Pete Spratt,175.3,,77.1,Orthodox,55.7,1.63,0.48,1.33,0.55,0.3,1.0,0.46,0.3
Austin Springer,172.7,180.3,65.8,Orthodox,39.4,3.54,0.57,3.15,0.41,3.37,0.4,1.0,0.8
Georges St-Pierre,180.3,193.0,83.9,Orthodox,45.3,3.78,0.53,1.4,0.72,4.16,0.74,0.83,1.1
Andreas Stahl,180.3,,77.1,Orthodox,38.3,2.83,0.37,4.74,0.57,1.55,0.66,0.8,0.0
Ron Stallings,188.0,190.5,77.1,Southpaw,43.7,3.22,0.6,3.26,0.51,0.0,0.0,0.71,0.0
Bobby Stack,175.3,,70.3,Orthodox,,1.0,0.2,2.89,0.34,7.48,0.45,1.0,0.0
Cristina Stanciu,160.0,,52.2,Orthodox,32.5,2.5,0.5,3.07,0.52,0.85,1.0,0.4,1.7
Cody Stamann,167.6,162.6,65.8,Orthodox,36.9,4.14,0.48,3.18,0.63,3.03,0.46,0.8,0.0
Brian Stann,185.4,188.0,93.0,Orthodox,46.0,3.28,0.42,2.65,0.59,0.12,0.12,0.6,0.3
Josh Stansbury,188.0,188.0,93.0,Orthodox,41.8,3.22,0.54,3.54,0.54,0.0,0.0,0.87,1.0
Dion Staring,185.4,,106.6,Orthodox,48.3,1.09,0.37,5.0,0.47,0.0,0.0,0.33,0.0
Lucas Stark,,,70.3,,,1.6,0.25,3.2,0.66,12.0,1.0,0.0,0.0
Kalib Starnes,190.5,188.0,83.9,Orthodox,51.7,2.71,0.48,4.43,0.53,1.46,0.33,0.25,0.6
Clifford Starks,182.9,198.1,83.9,Orthodox,45.4,1.94,0.33,2.49,0.58,1.94,1.0,0.6,0.0
Damian Stasiak,165.1,177.8,61.2,Orthodox,36.6,1.86,0.36,3.1,0.52,2.64,0.35,0.43,0.6
Adam Steele,,,77.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laureano Staropoli,185.4,180.3,77.1,Orthodox,33.6,4.4,0.34,4.58,0.53,0.25,0.2,0.57,0.0
Ricky Steele,175.3,188.0,61.2,Orthodox,38.3,4.07,0.7,2.93,0.5,0.0,0.0,0.91,0.0
Dominique Steele,177.8,188.0,77.1,Orthodox,38.7,2.32,0.49,2.42,0.5,2.95,0.42,0.76,0.0
Ray Steinbeiss,180.3,,77.1,Orthodox,47.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eric Steenberg,,,70.3,,43.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Steinbeiss,190.5,190.5,83.9,Orthodox,45.4,3.92,0.55,1.86,0.49,0.44,0.5,0.58,0.0
Dmitri Stepanov,190.5,,98.4,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Stevens,175.3,,70.3,,,0.45,0.26,1.79,0.46,0.0,0.0,0.0,0.0
Aljamain Sterling,170.2,180.3,61.2,Orthodox,37.1,4.84,0.49,2.2,0.63,1.77,0.24,0.41,0.9
Jeremy Stephens,175.3,180.3,65.8,Orthodox,40.3,3.18,0.4,3.06,0.58,1.16,0.38,0.65,0.4
Joe Stevenson,170.2,177.8,65.8,Orthodox,44.3,2.05,0.44,2.44,0.6,2.75,0.44,0.39,2.2
Maia Stevenson,162.6,157.5,52.2,Orthodox,44.5,1.57,0.54,3.13,0.33,3.91,1.0,0.5,0.0
Luke Stewart,180.3,,77.1,Orthodox,,3.75,0.56,2.34,0.53,3.75,0.33,0.5,1.9
Darren Stewart,182.9,188.0,83.9,Orthodox,35.7,3.09,0.44,3.09,0.5,1.5,0.4,0.65,0.1
Alex Stiebling,188.0,,93.0,Southpaw,,1.77,0.42,1.45,0.52,0.35,0.66,0.66,0.7
Kyle Stewart,182.9,193.0,77.1,Orthodox,37.6,1.41,0.35,2.42,0.43,1.32,0.2,0.6,0.0
Tyler Stinson,190.5,,77.1,,40.7,2.8,0.23,4.6,0.56,0.5,1.0,0.0,0.5
Dan Stittgen,185.4,,77.1,Orthodox,45.8,2.97,0.46,4.42,0.37,0.78,1.0,1.0,0.0
Lazar Stojadinovic,170.2,172.7,65.8,Southpaw,37.5,1.82,0.29,1.97,0.59,0.0,0.0,0.0,0.0
Denis Stojnic,182.9,,111.1,Orthodox,46.6,1.51,0.23,6.06,0.36,0.0,0.0,0.8,1.0
Julija Stoliarenko,170.2,167.6,61.2,,33.5,2.1,0.34,3.87,0.5,0.0,0.0,0.66,0.5
Dustin Stoltzfus,182.9,190.5,83.9,Orthodox,34.9,2.48,0.57,3.93,0.48,0.78,0.12,0.62,0.8
Niklas Stolze,185.4,188.0,77.1,Switch,33.7,2.0,0.41,1.93,0.56,1.0,1.0,0.66,0.0
Ken Stone,172.7,180.3,61.2,Southpaw,44.0,3.85,0.49,2.9,0.48,1.24,0.33,0.6,0.6
Ryan Stonitsch,175.3,,77.1,Southpaw,49.6,2.53,0.36,2.53,0.71,0.0,0.0,0.0,0.0
George Stork,177.8,,83.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darko Stosic,182.9,193.0,93.0,Orthodox,34.6,2.61,0.45,4.04,0.58,3.42,0.5,0.83,0.0
Rick Story,175.3,180.3,77.1,Southpaw,42.1,3.8,0.41,2.17,0.62,2.53,0.48,0.63,0.9
Greg Stott,170.2,,99.8,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtis Stout,185.4,,83.9,Southpaw,52.9,0.69,0.67,3.2,0.29,0.0,0.0,0.2,0.0
Tim Stout,180.3,,83.9,,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Stout,175.3,177.8,70.3,Orthodox,42.4,4.17,0.28,4.08,0.57,0.63,0.38,0.77,0.1
Jesse Strader,170.2,177.8,61.2,Orthodox,35.3,7.12,0.56,7.63,0.42,0.0,0.0,0.0,0.0
Gennaro Strangis,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerald Strebendt,175.3,,70.3,Orthodox,47.6,0.0,0.0,4.0,0.38,0.0,0.0,0.0,16.4
Dave Strasser,177.8,,77.1,Orthodox,57.2,3.04,0.45,1.88,0.59,0.72,0.33,0.33,0.0
Daniel Straus,170.2,180.3,65.8,,42.2,4.76,0.43,2.99,0.57,0.84,0.15,0.81,1.1
Sean Strickland,185.4,193.0,83.9,Orthodox,35.6,5.09,0.38,3.77,0.66,1.26,0.6,0.81,0.4
Hans Stringer,190.5,,93.0,Orthodox,39.2,3.16,0.61,2.84,0.41,2.4,0.36,0.62,0.0
Mark Striegl,172.7,177.8,61.2,Southpaw,38.3,3.53,0.42,21.18,0.25,0.0,0.0,0.0,0.0
Josh Stuart,175.3,,72.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Struve,210.8,213.4,120.2,Orthodox,38.6,3.12,0.47,4.04,0.46,0.56,0.46,0.55,1.7
Mike Stumpf,177.8,,77.1,,40.1,3.34,0.43,8.85,0.47,1.59,0.25,0.33,0.8
Kyle Sturgeon,190.5,,102.1,Switch,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masanori Suda,175.3,,83.0,Orthodox,,1.8,0.5,1.2,0.63,0.0,0.0,0.6,0.0
Tatiana Suarez,165.1,167.6,52.2,Southpaw,35.8,4.82,0.65,1.45,0.48,6.47,0.62,1.0,0.6
Genki Sudo,175.3,,70.3,Orthodox,48.5,1.55,0.39,2.23,0.33,3.58,0.6,0.5,4.2
Daisuke Sugie,167.6,,72.6,Orthodox,,0.0,0.0,0.22,0.8,3.27,0.5,0.0,3.3
Takashi Sugiura,180.3,,102.1,Southpaw,56.3,1.37,0.4,2.08,0.53,1.33,0.66,0.0,0.0
Justin Sumter,188.0,203.2,83.9,Southpaw,36.9,2.68,0.48,7.64,0.34,2.87,1.0,0.0,0.0
Magomed Sultanakhmedov,188.0,,83.9,Southpaw,,0.0,0.0,2.4,0.42,9.0,1.0,0.0,9.0
George Sullivan,182.9,185.4,77.1,Orthodox,45.5,3.53,0.39,2.42,0.57,1.37,0.2,0.38,0.7
Amar Suloev,175.3,,83.0,Orthodox,50.2,1.98,0.37,2.19,0.7,0.27,1.0,0.88,0.3
Aji Susilo,177.8,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Svensson,185.4,,70.3,,41.4,2.02,0.38,5.91,0.38,0.0,0.0,0.0,0.0
Daniel Swain,175.3,177.8,65.8,Orthodox,35.6,0.8,0.44,3.2,0.4,0.0,0.0,0.0,6.0
Naho Sugiyuma,154.9,,47.6,,48.6,2.59,0.48,2.45,0.71,2.05,1.0,0.66,0.0
Jason Suttie,182.9,,95.3,Orthodox,53.1,2.07,0.83,4.97,0.36,0.0,0.0,0.0,0.0
Joel Sutton,180.3,,93.0,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cub Swanson,172.7,177.8,65.8,Orthodox,42.9,4.64,0.5,3.64,0.6,1.09,0.51,0.6,0.5
Chad Sutton,185.4,,83.9,,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Syler,175.3,180.3,70.3,Switch,33.2,5.6,0.69,4.03,0.48,1.0,0.4,0.77,2.0
Floyd Sword,182.9,,83.9,Orthodox,50.1,0.78,0.42,1.57,0.4,0.0,0.0,0.33,0.0
Bentley Syler,162.6,,56.7,Orthodox,43.8,1.3,0.18,1.73,0.79,0.0,0.0,0.75,0.0
Tony Sylvester,185.4,,102.1,Southpaw,48.7,0.0,0.0,10.12,0.12,0.0,0.0,0.0,0.0
Mike Swick,185.4,195.6,77.1,Orthodox,47.3,2.36,0.37,2.29,0.54,1.06,0.5,0.61,0.6
Leo Sylvest,180.3,,93.0,Orthodox,53.1,0.0,0.0,6.58,0.27,0.0,0.0,0.0,0.0
Tim Sylvia,203.2,203.2,120.2,Orthodox,50.6,4.23,0.41,2.61,0.61,0.11,1.0,0.75,0.1
Osamu Tachihikari,195.6,,136.1,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Tafa,182.9,188.0,119.7,Southpaw,32.8,5.33,0.59,4.6,0.46,0.0,0.0,1.0,0.0
Eugenio Tadeu,172.7,,72.6,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amber Tackett,,,52.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Taimanglo,162.6,,61.2,,42.2,4.18,0.42,4.55,0.59,5.45,0.4,1.0,1.4
Khalid Taha,165.1,175.3,61.2,Orthodox,34.6,2.86,0.35,4.26,0.43,0.0,0.0,0.61,0.3
Mairbek Taisumov,175.3,185.4,70.3,Orthodox,38.1,2.98,0.39,3.03,0.64,1.34,0.63,0.88,0.0
Nobuhiko Takada,182.9,,99.8,Southpaw,64.4,0.31,0.24,1.92,0.39,1.15,0.2,0.0,0.0
Yoshiki Takahashi,180.3,,90.3,Southpaw,57.5,2.26,0.51,6.47,0.44,0.0,0.0,0.66,2.3
Yoko Takahashi,172.7,,68.0,,53.4,5.11,0.54,8.78,0.48,0.0,0.0,0.0,0.0
Yoshihiro Takayama,195.6,,127.0,Orthodox,58.0,3.4,0.54,5.69,0.29,0.67,0.33,0.55,0.0
Daiju Takase,182.9,,77.1,Southpaw,48.4,0.49,0.3,1.64,0.47,0.84,0.17,0.21,1.2
Makoto Takimoto,170.2,,93.0,Southpaw,46.8,1.37,0.39,1.71,0.55,1.48,0.5,0.25,1.1
Hiroyuki Takaya,167.6,,63.0,Orthodox,49.3,3.18,0.33,3.16,0.6,0.9,0.45,0.66,0.0
Nordine Taleb,185.4,188.0,77.1,Orthodox,45.3,3.66,0.51,2.62,0.66,1.94,0.76,0.73,0.0
Oleg Taktarov,182.9,,95.3,Orthodox,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tsuyoshi Tamakairiki,182.9,,99.8,Orthodox,,0.0,0.0,26.67,0.5,0.0,0.0,0.0,0.0
Akitoshi Tamura,175.3,177.8,61.2,Orthodox,46.3,3.73,0.43,1.94,0.78,0.0,0.0,0.2,1.0
Akihito Tanaka,,,,Southpaw,,0.19,0.5,2.05,0.38,5.59,0.66,0.0,0.0
Jason Tan,177.8,,77.1,Orthodox,44.8,0.69,0.29,7.37,0.18,0.0,0.0,0.0,0.0
Michinori Tanaka,165.1,170.2,61.2,Orthodox,36.0,1.97,0.37,1.99,0.5,2.4,0.38,0.43,0.2
Eli Tamez,170.2,,61.2,,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiyoshi Tamura,180.3,,83.9,Southpaw,56.8,2.44,0.53,1.44,0.6,0.58,0.6,0.45,0.2
Issei Tamura,165.1,160.0,61.2,Orthodox,42.5,1.89,0.53,4.58,0.44,0.92,0.25,0.33,0.0
Evan Tanner,182.9,188.0,83.9,Orthodox,55.6,3.05,0.59,2.64,0.56,2.55,0.43,0.25,1.3
Deividas Taurosevicius,175.3,172.7,65.8,Southpaw,49.1,2.13,0.43,1.82,0.59,2.0,0.28,0.5,0.3
Jeremy Tavares,,,61.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Tapusoa,170.2,,83.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manny Tapia,165.1,170.2,61.2,Orthodox,45.5,2.69,0.21,4.74,0.58,0.49,0.4,0.66,0.2
Miesha Tate,167.6,167.6,61.2,Orthodox,40.1,1.93,0.41,2.71,0.5,2.06,0.31,0.52,1.6
Thiago Tavares,170.2,177.8,65.8,Orthodox,41.9,2.0,0.4,2.31,0.62,3.83,0.42,0.62,1.5
Paul Taylor,182.9,182.9,70.3,Orthodox,46.8,4.44,0.47,4.47,0.55,0.27,0.25,0.56,0.5
